set_number,name,current_lego_mrp_inr,mbh_storefront_price_NOT_A_CONFIRMED_MRP,mbh_url
30720,"Ariel & Flounder's Birthday Music Fun",,399,https://lego.mybrickhouse.com/products/lego-30720-recruitment-bags-ariel-flounders-birthday-music-fun-39-pieces
853666,"Shark Suit Guy Key Chain",,699,https://lego.mybrickhouse.com/products/shark-suit-guy-keyring-853666
42228,"McLaren MCL39 F1 Car",20700,24999,https://lego.mybrickhouse.com/products/lego-r-technic-mclaren-mcl39-f1-r-car-building-set-gift-42228
43016,"Cristiano Ronaldo – Football Legend",7200,8499,https://lego.mybrickhouse.com/products/lego-r-editions-cristiano-ronaldo-soccer-legend-set-43016
854328,"Dumbo Key Chain",500,699,https://lego.mybrickhouse.com/products/lego-r-disney-dumbo-key-chain-animal-gift-idea-854328
77259,"Audi Revolut F1 Team R26 Race Car",2999,2999,https://lego.mybrickhouse.com/products/lego-speed-champions-audi-revolut-f1-team-r26-race-car-77259
77258,"F1 ACADEMY LEGO Race Car",2500,2999,https://lego.mybrickhouse.com/products/lego-speed-champions-f1-academy-lego-race-car-77258
75458,"Imperial Remnant AT-RT Driver Helmet",6300,7499,https://lego.mybrickhouse.com/products/lego-r-star-wars-imperial-remnant-at-rt-driver-helmet-building-set-75458
76346,"Spider-Man Hero Figure",9000,9999,https://lego.mybrickhouse.com/products/lego-r-marvel-spider-man-hero-figure-collectible-76346
71861,"The Old Town 15th Anniversary",27000,29999,https://lego.mybrickhouse.com/products/lego-r-ninjago-r-the-old-town-15th-anniversary-toy-71861
60497,"Drive-Through Car Wash",5400,5999,https://lego.mybrickhouse.com/products/lego-r-city-drive-through-car-wash-building-kit-60497
77081,"KIT",9900,10999,https://lego.mybrickhouse.com/products/lego-r-fortnite-r-kit-building-set-77081
11370,"Stranger Things: The Creel House",27000,27999,https://lego.mybrickhouse.com/products/lego-r-icons-stranger-things-the-creel-house-model-kit-11370
76334,"Epic Battle: Spider-Man vs. Sandman",2499,2499,https://lego.mybrickhouse.com/products/lego-r-marvel-epic-battle-spider-man-vs-sandman-76334
40955,"Maersk Dual-Fuel Container Vessel",13500,15999,https://lego.mybrickhouse.com/products/lego-r-maersk-dual-fuel-container-vessel-ship-model-40955
71850,"Lloyd vs. Earth Monster Spinner",900,999,https://lego.mybrickhouse.com/products/lego-r-ninjago-r-lloyd-vs-earth-monster-battle-toy-71850
76337,"Miles Morales Mech vs. Spider-Man 2099",1300,1499,https://lego.mybrickhouse.com/products/lego-r-marvel-miles-morales-mech-vs-spider-man-2099-76337
31386,"Wild Animals: Majestic Lion",6300,6999,https://lego.mybrickhouse.com/products/lego-r-creator-3-in-1-wild-animals-majestic-lion-toy-31386
11045,"Creative Colorful Bricks",4500,5499,https://lego.mybrickhouse.com/products/lego-r-classic-creative-colorful-bricks-building-toy-11045
10474,"Creative Vehicles",1999,1999,https://lego.mybrickhouse.com/products/lego-r-duplo-r-my-first-creative-vehicles-toy-10474
21587,"Zombie Dungeon",2999,2999,https://lego.mybrickhouse.com/products/lego-r-minecraft-r-zombie-dungeon-gaming-building-toy-21587
11208,"Team Spidey Pirate Ship",4500,5499,https://lego.mybrickhouse.com/products/lego-r-marvel-spidey-and-his-amazing-friends-team-spidey-pirate-ship-11208
40925,"Alice in Wonderland",3600,4499,https://lego.mybrickhouse.com/products/lego-r-brickheadz-disney-alice-in-wonderland-toys-40925
40890,"Easter Decorations",,1999,https://lego.mybrickhouse.com/products/lego-r-easter-decorations-seasonal-decor-40890
30714,"Orange Cat",,399,https://lego.mybrickhouse.com/products/lego-30714-recruitment-bags-orange-cat-79-pieces
76441,"Hogwarts Castle: Dueling Club",2200,2749,https://lego.mybrickhouse.com/products/harry-potter-hogwarts-castle-duelling-club-wizard-toy-for-kids-76441-building-kit-158-pieces
21365,"Love Birds",4500,5499,https://lego.mybrickhouse.com/products/lego-r-ideas-love-birds-building-set-bird-decor-21365
40881,"Supply Llama & Fishstick Figures",2200,2499,https://lego.mybrickhouse.com/products/lego-r-fortnite-r-brickheadz-supply-llama-fishstick-figures-40881
854331,"Dragonborn Paladin Key Chain",500,699,https://lego.mybrickhouse.com/products/lego-r-dungeons-dragons-r-dragonborn-paladin-key-chain-854331
43017,"McLaren Mastercard F1 Team Oscar Piastri Helmet",,9999,https://lego.mybrickhouse.com/products/lego-r-editions-mclaren-mastercard-f1-r-team-oscar-piastri-helmet-43017
40893,"Grond",,2999,https://lego.mybrickhouse.com/products/lego-r-icons-the-lord-of-the-rings-grond-decor-model-40893
11384,"Golden Retriever Puppy",12600,14999,https://lego.mybrickhouse.com/products/lego-r-icons-golden-retriever-puppy-animal-figure-11384
40921,"Up-Scaled Blue Astronaut Minifigure",5400,6499,https://lego.mybrickhouse.com/products/lego-r-up-scaled-blue-astronaut-minifigure-space-toy-40921
31383,"Floral Decor Perfume Bottle",2700,2999,https://lego.mybrickhouse.com/products/lego-r-creator-3-in-1-floral-decor-perfume-bottle-31383
42686,"Fun Indoor Playground",5400,6499,https://lego.mybrickhouse.com/products/lego-r-friends-fun-indoor-playground-pretend-play-set-42686
30735,"Hot Rod Car",,399,https://lego.mybrickhouse.com/products/lego-30735-recruitment-bags-hot-rod-car-83-pieces
43025,"Nike Air Max 95 x LEGO Set",9000,9999,https://lego.mybrickhouse.com/products/nike-air-max-95-x-lego-set-building-kit-43025
76300,"Arkham Asylum",27000,31999,https://lego.mybrickhouse.com/products/sh-dc-76300-1
76968,"Dinosaur Fossils: Tyrannosaurus Rex",22500,27499,https://lego.mybrickhouse.com/products/jurassic-world-dinosaur-fossils-tyrannosaurus-rex-model-building-set-76968-building-kit-3145-pieces
71837,"NINJAGO City Workshops",22500,25499,https://lego.mybrickhouse.com/products/ninjago-r-city-workshops-ninja-playset-building-kit-71837-building-kit-3244-pieces
76273,"Batman Construction Figure and the Bat-Pod Bike",5800,7299,https://lego.mybrickhouse.com/products/dc-batman-batman-construction-figure-the-bat-pod-bike-76273-building-kit-713-pieces
853571,"Hot Dog Guy Key Chain",,699,https://lego.mybrickhouse.com/products/keyring-hot-dog-guy-853571
11201,"Playground Fun with Bluey",2290,2290,https://lego.mybrickhouse.com/products/lego-r-bluey-playground-fun-with-bluey-and-chloe-preschool-toy-building-kit-11201
10361,"Holiday Express Train",11700,12799,https://lego.mybrickhouse.com/products/icons-10361
42212,"Ferrari FXX K",5800,6849,https://lego.mybrickhouse.com/products/technic-ferrari-fxx-k-model-car-kit-stem-42212-building-kit-897-pieces
21360,"Willy Wonka & the Chocolate Factory",19800,22899,https://lego.mybrickhouse.com/products/ideas-21360-1
854305,"Silver Minifigure Keychain",500,699,https://lego.mybrickhouse.com/products/silver-minifigure-keyring-aesthetic-display-toy-854305
854303,"Dark Turquoise Brick Key Chain",500,699,https://lego.mybrickhouse.com/products/bright-bluish-green-2x4-stud-keyring-aesthetic-display-toy-854303
