set_number,name,current_lego_mrp_inr,retailer_mrp,delta,source,url,mbh_storefront_price_context
21330,"Home Alone",27000,34999,7999,Toycra (labeled MRP),https://www.toycra.com/products/lego-21330-ideas-home-alone,34999
10326,"Natural History Museum",27000,34999,7999,Toycra (labeled MRP),https://www.toycra.com/products/lego-10326-icons-natural-history-museum-4014-pieces,31999
75397,"Jabba's Sail Barge",45000,51999,6999,Toycra (labeled MRP),https://www.toycra.com/products/lego-75397-star-wars-jabbas-sail-barge-3943-pieces,51999
76454,"Hogwarts Castle: The Main Tower",23400,29999,6599,Toycra (labeled MRP),https://www.toycra.com/products/lego-76454-harry-potter-hogwarts-castle-the-main-tower-2135-pieces,27499
42215,"Volvo EC500 Hybrid Excavator",38700,44999,6299,Toycra (labeled MRP),https://www.toycra.com/products/lego-42215-technic-volvo-ec500-hybrid-excavator-2359-pieces,44999
76156,"Rise of the Domo",8100,13499,5399,Toycra (labeled MRP),https://www.toycra.com/products/lego-76156-marvel-the-eternals-rise-of-the-domo-1040-pieces,
21063,"Neuschwanstein Castle",25200,30199,4999,Toycra (labeled MRP),https://www.toycra.com/products/lego-21063-architecture-neuschwanstein-castle-3455-pieces,30199
71848,"The Temple Bounty",18000,22899,4899,Toycra (labeled MRP),https://www.toycra.com/products/lego-71848-ninjago-the-temple-bounty-2387-pieces,22899
41745,"Autumn's Horse Stable",5400,9999,4599,Toycra (labeled MRP),https://www.toycra.com/products/lego-41745-friends-autumns-horse-stable-545-pieces,
75416,"Chopper (C1-10P) Astromech Droid",9000,13499,4499,Toycra (labeled MRP),https://www.toycra.com/products/lego-75416-star-wars-chopper-c1-10p-astromech-droid-1039-pieces,12299
71847,"The Guardian Dragon",13500,17999,4499,Toycra (labeled MRP),https://www.toycra.com/products/lego-71847-ninjago-the-guardian-dragon-1650-pieces,16499
10428,"Big Interactive Community Train",12600,16999,4399,Toycra (labeled MRP),https://www.toycra.com/products/lego-10428-duplo-big-interactive-community-train-103-pieces,16999
71051,"Peacock Suit",400,4788,4388,Toycra (labeled MRP),https://www.toycra.com/products/lego-71051-minifigures-animals-series-28-pack-of-12-mini-figures,399
76155,"In Arishem's Shadow",5400,9699,4299,Toycra (labeled MRP),https://www.toycra.com/products/lego-76155-marvel-the-eternals-in-arishems-shadow-493-pieces,
10297,"Boutique Hotel",20700,24999,4299,Toycra (labeled MRP),https://www.toycra.com/products/lego-10297-icons-boutique-hotel,
76294,"The X-Mansion",29700,33899,4199,Toycra (labeled MRP),https://www.toycra.com/products/lego-76294-super-heroes-marvel-x-men-the-x-mansion-3093-pieces,33899
76269,"Avengers Tower",45000,48999,3999,Toycra (labeled MRP),https://www.toycra.com/products/lego-76269-marvel-avengers-tower-5201-pieces,48999
42620,"Olly's and Paisley's Family Homes",9000,12999,3999,Toycra (labeled MRP),https://www.toycra.com/products/lego-42620-friends-olly-and-paisleys-family-houses-1126-pieces,
75398,"C-3PO",12600,16599,3999,Toycra (labeled MRP),https://www.toycra.com/products/lego-75398-star-wars-c-3po-1138-pieces,16599
10325,"Alpine Lodge",9000,12999,3999,Toycra (labeled MRP),https://www.toycra.com/products/lego-10325-icons-alpine-lodge-1517-pieces,
75417,"AT-ST Walker",18000,21899,3899,Toycra (labeled MRP),https://www.toycra.com/products/lego-75417-star-wars-at-st-walker-1513-pieces,
42669,"Beekeepers' House and Flower Garden",8100,11999,3899,Toycra (labeled MRP),https://www.toycra.com/products/lego-42669-friends-beekeepers-house-and-flower-garden-1161-pieces,10999
21347,"Red London Telephone Box",10300,13999,3699,Toycra (labeled MRP),https://www.toycra.com/products/lego-21347-ideas-red-london-telephone-box-1460-pieces,
75408,"Jango Fett Helmet",6300,9999,3699,Toycra (labeled MRP),https://www.toycra.com/products/lego-75408-star-wars-jango-fett-helmet-616-pieces,9099
76976,"Spinosaurus & Quetzalcoatlus Air Mission",14400,17999,3599,Toycra (labeled MRP),https://www.toycra.com/products/lego-76976-jurassic-world-spinosaurus-quetzalcoatlus-air-mission-984-pieces,16499
21348,"Dungeons & Dragons: Red Dragon's Tale",32400,35999,3599,Toycra (labeled MRP),https://www.toycra.com/products/lego-21348-ideas-dungeons-dragons-red-dragons-tale-3745-pieces,
42210,"2 Fast 2 Furious Nissan Skyline GT-R (R34) Car",13400,16999,3599,Toycra (labeled MRP),https://www.toycra.com/products/lego-42210-technic-2-fast-2-furious-nissan-skyline-gt-r-r34-car-1410-pieces,15499
21333,"The Starry Night",15300,18799,3499,Toycra (labeled MRP),https://www.toycra.com/products/lego-21333-ideas-vincent-van-gogh-the-starry-night-2316-pieces,18799
76323,"Avengers: Endgame Final Battle",9000,12499,3499,Toycra (labeled MRP),https://www.toycra.com/products/lego-76323-super-heroes-marvel-avengers-endgame-final-battle-621-pieces,11399
71795,"Temple of the Dragon Energy Cores",8500,11999,3499,Toycra (labeled MRP),https://www.toycra.com/products/lego-71795-ninjago-temple-of-the-dragon-energy-cores-1029-pieces,
75428,"Battle Droid with STAP",12600,15999,3399,Toycra (labeled MRP),https://www.toycra.com/products/lego-75428-star-wars-battle-droid-with-stap-1088-pieces,14499
76324,"Spider-Man vs. Oscorp",12600,15999,3399,Toycra (labeled MRP),https://www.toycra.com/products/lego-76324-super-heroes-marvel-spider-man-vs-oscorp-808-pieces,
10305,"Lion Knights' Castle",36000,39399,3399,Toycra (labeled MRP),https://www.toycra.com/products/lego-10305-icons-lion-knights-castle,
31167,"Haunted Mansion",8100,11499,3399,Toycra (labeled MRP),https://www.toycra.com/products/lego-31167-creator-haunted-mansion-736-pieces,10499
42631,"Adventure Camp Tree House",11700,14999,3299,Toycra (labeled MRP),https://www.toycra.com/products/lego-42631-friends-adventure-camp-tree-house-1128-pieces,
