raw_theme,set_count,category,proposed_curated_theme,note,longtail_pct_ever_tracked,longtail_pct_recent_tracked,longtail_verdict,longtail_note
Star Wars,1055,DIRECT_MATCH,Star Wars,,,,,
"Bags, Totes, & Luggage",947,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Technic,916,DIRECT_MATCH,Technic,,,,,
Key Chain,832,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Stationery and Office Supplies,741,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Friends,704,DIRECT_MATCH,Friends,,,,,
Clothing & Footwear,684,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Ninjago,647,DIRECT_MATCH,Ninjago,,,,,
Houseware,567,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Gear,517,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Activity Books with LEGO Parts,454,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Story Books,417,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Bionicle,414,NEEDS_DECISION,,,,,,
Basic Set,397,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Town,381,NEEDS_DECISION,,,,,,
Classic Town,361,SUBTHEME_OF_CURATED,Classic,"proposed mapping, needs sign-off",,,,
LEGO Brand Store,335,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Service Packs,335,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Supplemental,286,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Duplo and Explore,280,SUBTHEME_OF_CURATED,Duplo,"proposed mapping, needs sign-off",,,,
Creator 3-in-1,275,SUBTHEME_OF_CURATED,Creator,"proposed mapping, needs sign-off",,,,
Promotional,273,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Video Games and Accessories,271,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
